,Time taken,End State Visited?,Number of states visited,Total Rewards
118,0.038924217224121094,True,16 / 16,0.31122050989453576
119,0.06584548950195312,True,16 / 16,0.31122050989453576
120,0.045903921127319336,True,16 / 16,0.31122050989453576
121,0.04889631271362305,True,16 / 16,0.31122050989453576
122,0.05186033248901367,True,16 / 16,0.31122050989453576
123,0.05088973045349121,True,16 / 16,0.31122050989453576
124,0.23939013481140137,True,16 / 16,0.31122050989453576
125,0.0518336296081543,True,16 / 16,0.31122050989453576
126,0.22141647338867188,True,16 / 16,0.31122050989453576
127,0.09377360343933105,True,16 / 16,0.31122050989453576
128,0.04988718032836914,True,16 / 16,0.31122050989453576
129,0.047878265380859375,True,16 / 16,0.31122050989453576
130,0.04986882209777832,True,16 / 16,0.31122050989453576
131,0.04689502716064453,True,16 / 16,0.31122050989453576
132,0.050849199295043945,True,16 / 16,0.31122050989453576
133,0.09175467491149902,True,16 / 16,0.31122050989453576
134,0.05283474922180176,True,16 / 16,0.31122050989453576
135,0.04488015174865723,True,16 / 16,0.31122050989453576
136,0.04115915298461914,True,16 / 16,0.31122050989453576
137,0.04291105270385742,True,16 / 16,0.31122050989453576
138,0.05318593978881836,True,16 / 16,0.31122050989453576
139,0.13604235649108887,True,16 / 16,0.31122050989453576
140,0.04641437530517578,True,16 / 16,0.31122050989453576
141,0.047872304916381836,True,16 / 16,0.31122050989453576
142,0.07678079605102539,True,16 / 16,0.31122050989453576
143,0.051889657974243164,True,16 / 16,0.31122050989453576
144,0.06284332275390625,True,16 / 16,0.31122050989453576
145,0.04091978073120117,True,16 / 16,0.31122050989453576
146,0.04587817192077637,True,16 / 16,0.31122050989453576
147,0.05920672416687012,True,16 / 16,0.31122050989453576
148,0.044891357421875,True,16 / 16,0.31122050989453576
149,0.07481956481933594,True,16 / 16,0.31122050989453576
150,0.09175467491149902,True,16 / 16,0.31122050989453576
151,0.048890113830566406,True,16 / 16,0.31122050989453576
152,0.051891326904296875,True,16 / 16,0.31122050989453576
153,0.05787253379821777,True,16 / 16,0.31122050989453576
154,0.03889799118041992,True,16 / 16,0.31122050989453576
155,0.0428926944732666,True,16 / 16,0.31122050989453576
156,0.09477710723876953,True,16 / 16,0.31122050989453576
157,0.039890289306640625,True,16 / 16,0.31122050989453576
158,0.0628213882446289,True,16 / 16,0.31122050989453576
159,0.04590630531311035,True,16 / 16,0.31122050989453576
160,0.04492783546447754,True,16 / 16,0.31122050989453576
161,0.06684708595275879,True,16 / 16,0.31122050989453576
162,0.04452013969421387,True,16 / 16,0.31122050989453576
163,0.04889726638793945,True,16 / 16,0.31122050989453576
164,0.05086350440979004,True,16 / 16,0.31122050989453576
165,0.04487943649291992,True,16 / 16,0.31122050989453576
166,0.05387997627258301,True,16 / 16,0.31122050989453576
167,0.0718085765838623,True,16 / 16,0.31122050989453576
168,0.06682181358337402,True,16 / 16,0.31122050989453576
169,0.040918827056884766,True,16 / 16,0.31122050989453576
170,0.043907880783081055,True,16 / 16,0.31122050989453576
171,0.05887317657470703,True,16 / 16,0.31122050989453576
172,0.07080984115600586,True,16 / 16,0.31122050989453576
173,0.04889631271362305,True,16 / 16,0.31122050989453576
174,0.05571746826171875,True,16 / 16,0.31122050989453576
175,0.03789854049682617,True,16 / 16,0.31122050989453576
176,0.043883562088012695,True,16 / 16,0.31122050989453576
177,0.041915178298950195,True,16 / 16,0.31122050989453576
178,0.06484293937683105,True,16 / 16,0.31122050989453576
179,0.07679462432861328,True,16 / 16,0.31122050989453576
180,0.045877695083618164,True,16 / 16,0.31122050989453576
181,0.04886746406555176,True,16 / 16,0.31122050989453576
182,0.044905900955200195,True,16 / 16,0.31122050989453576
183,0.17518830299377441,True,16 / 16,0.31122050989453576
184,0.040889739990234375,True,16 / 16,0.31122050989453576
185,0.1261920928955078,True,16 / 16,0.31122050989453576
186,0.05485367774963379,True,16 / 16,0.31122050989453576
187,0.04587721824645996,True,16 / 16,0.31122050989453576
188,0.19752216339111328,True,16 / 16,0.31122050989453576
189,0.04690098762512207,True,16 / 16,0.31122050989453576
190,0.0621945858001709,True,16 / 16,0.31122050989453576
191,0.04488015174865723,True,16 / 16,0.31122050989453576
192,0.07224774360656738,True,16 / 16,0.31122050989453576
193,0.04290890693664551,True,16 / 16,0.31122050989453576
194,0.07380080223083496,True,16 / 16,0.31122050989453576
195,0.04388284683227539,True,16 / 16,0.31122050989453576
196,0.02296900749206543,True,16 / 16,0.31122050989453576
197,0.050872802734375,True,16 / 16,0.31122050989453576
198,0.08380317687988281,True,16 / 16,0.31122050989453576
199,0.040917396545410156,True,16 / 16,0.31122050989453576
200,0.03194093704223633,True,16 / 16,0.31122050989453576
201,0.03844261169433594,True,16 / 16,0.31122050989453576
202,0.045903921127319336,True,16 / 16,0.31122050989453576
203,0.09275126457214355,True,16 / 16,0.31122050989453576
204,0.05385541915893555,True,16 / 16,0.31122050989453576
205,0.04886984825134277,True,16 / 16,0.31122050989453576
206,0.06682085990905762,True,16 / 16,0.31122050989453576
207,0.10071802139282227,True,16 / 16,0.31122050989453576
208,0.04039883613586426,True,16 / 16,0.31122050989453576
209,0.051860809326171875,True,16 / 16,0.31122050989453576
210,0.06785273551940918,True,16 / 16,0.31122050989453576
211,0.06781911849975586,True,16 / 16,0.31122050989453576
212,0.15159368515014648,True,16 / 16,0.31122050989453576
213,0.06884765625,True,16 / 16,0.31122050989453576
214,0.18555569648742676,True,16 / 16,0.31122050989453576
215,0.32030296325683594,True,16 / 16,0.31122050989453576
216,0.04590916633605957,True,16 / 16,0.31122050989453576
217,0.09377527236938477,True,16 / 16,0.31122050989453576
218,0.0359041690826416,True,16 / 16,0.31122050989453576
219,0.05286049842834473,True,16 / 16,0.31122050989453576
220,0.04492950439453125,True,16 / 16,0.31122050989453576
221,0.10372519493103027,True,16 / 16,0.31122050989453576
222,0.04288530349731445,True,16 / 16,0.31122050989453576
223,0.04689741134643555,True,16 / 16,0.31122050989453576
224,0.03294062614440918,True,16 / 16,0.31122050989453576
225,0.05687594413757324,True,16 / 16,0.31122050989453576
226,0.2263941764831543,True,16 / 16,0.31122050989453576
227,0.0518498420715332,True,16 / 16,0.31122050989453576
228,0.05086565017700195,True,16 / 16,0.31122050989453576
229,0.0509340763092041,True,16 / 16,0.31122050989453576
230,0.049866676330566406,True,16 / 16,0.31122050989453576
231,0.048897743225097656,True,16 / 16,0.31122050989453576
232,0.03892183303833008,True,16 / 16,0.31122050989453576
233,0.11967611312866211,True,16 / 16,0.31122050989453576
234,0.053856849670410156,True,16 / 16,0.31122050989453576
235,0.023966073989868164,True,16 / 16,0.31122050989453576
236,0.05488395690917969,True,16 / 16,0.31122050989453576
237,0.057413339614868164,True,16 / 16,0.31122050989453576
238,0.05326676368713379,True,16 / 16,0.31122050989453576
239,0.09773826599121094,True,16 / 16,0.31122050989453576
240,0.04687356948852539,True,16 / 16,0.31122050989453576
241,0.04487919807434082,True,16 / 16,0.31122050989453576
242,0.03493547439575195,True,16 / 16,0.31122050989453576
243,0.09175515174865723,True,16 / 16,0.31122050989453576
244,0.04587697982788086,True,16 / 16,0.31122050989453576
245,0.3620626926422119,True,16 / 16,0.31122050989453576
246,0.051857709884643555,True,16 / 16,0.31122050989453576
247,0.10175776481628418,True,16 / 16,0.31122050989453576
248,0.03746438026428223,True,16 / 16,0.31122050989453576
249,0.1252286434173584,True,16 / 16,0.31122050989453576
250,0.043906211853027344,True,16 / 16,0.31122050989453576
251,0.5151815414428711,True,16 / 16,0.31122050989453576
252,0.0498957633972168,True,16 / 16,0.31122050989453576
253,0.04888176918029785,True,16 / 16,0.31122050989453576
254,0.06086540222167969,True,16 / 16,0.31122050989453576
255,0.04587697982788086,True,16 / 16,0.31122050989453576
256,0.02892279624938965,True,16 / 16,0.31122050989453576
257,0.08277773857116699,True,16 / 16,0.31122050989453576
258,0.047872066497802734,True,16 / 16,0.31122050989453576
259,0.04690122604370117,True,16 / 16,0.31122050989453576
260,0.048868656158447266,True,16 / 16,0.31122050989453576
261,0.054884910583496094,True,16 / 16,0.31122050989453576
262,0.07381272315979004,True,16 / 16,0.31122050989453576
263,0.043872833251953125,True,16 / 16,0.31122050989453576
264,0.03991985321044922,True,16 / 16,0.31122050989453576
265,0.051889657974243164,True,16 / 16,0.31122050989453576
266,0.04787039756774902,True,16 / 16,0.31122050989453576
267,0.04191112518310547,True,16 / 16,0.31122050989453576
268,0.03692984580993652,True,16 / 16,0.31122050989453576
269,0.05089211463928223,True,16 / 16,0.31122050989453576
270,0.03377866744995117,True,16 / 16,0.31122050989453576
271,0.04486536979675293,True,16 / 16,0.31122050989453576
272,0.047872304916381836,True,16 / 16,0.31122050989453576
273,0.050865888595581055,True,16 / 16,0.31122050989453576
274,0.05086779594421387,True,16 / 16,0.31122050989453576
275,0.09873723983764648,True,16 / 16,0.31122050989453576
276,0.048868417739868164,True,16 / 16,0.31122050989453576
277,0.08407306671142578,True,16 / 16,0.31122050989453576
278,0.04339241981506348,True,16 / 16,0.31122050989453576
279,0.07578444480895996,True,16 / 16,0.31122050989453576
280,0.07579660415649414,True,16 / 16,0.31122050989453576
281,0.06283092498779297,True,16 / 16,0.31122050989453576
282,0.04089021682739258,True,16 / 16,0.31122050989453576
283,0.09973812103271484,True,16 / 16,0.31122050989453576
284,0.04290413856506348,True,16 / 16,0.31122050989453576
285,0.04490375518798828,True,16 / 16,0.31122050989453576
286,0.06685137748718262,True,16 / 16,0.31122050989453576
287,0.04886507987976074,True,16 / 16,0.31122050989453576
